trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size
62,0.011646723374724388,33,0.011646723374724388,0.004836344160139561,0.001713148900307715,0.04231908590774439,4,2,576,25,0.21203052968117153,0.005390904992398201,4.063934838241307e-06,relu,128
48,0.013433887623250484,33,0.013433887623250484,0.004758160561323166,-0.0037593375891447067,0.06112756853340857,4,4,640,25,0.08265490687516716,0.0092336267166085,3.247856919237154e-06,relu,128
68,0.014221005141735077,31,0.014221005141735077,0.00672023743391037,-0.00020836199109908193,0.018808482625664175,4,1,384,25,0.16991619464795324,0.0020469819211250484,1.0559931261987221e-05,swish,32
44,0.014792908914387226,26,0.014792908914387226,0.00555909238755703,0.0007012626156210899,0.0752339305026567,3,3,640,25,0.13767153965059592,0.0007945147388834426,3.393353922289602e-06,relu,64
47,0.014896056614816189,21,0.014896056614816189,0.0061083887703716755,0.0013296013930812478,0.07993605115907274,3,4,640,25,0.0681705386131269,0.0010369684150479618,3.5223940362209514e-06,relu,64
26,0.01518541295081377,29,0.01518541295081377,0.006861063651740551,-0.0018707147100940347,0.04231908590774439,4,2,192,25,0.24955238882778397,0.0002790395352207233,5.334256865626576e-06,swish,32
16,0.015482475981116295,27,0.015482475981116295,0.006944578140974045,0.001573284505866468,0.08463817181548879,4,2,256,25,0.10111064245952527,0.00023230898414170666,5.016110620551737e-05,swish,32
56,0.015911489725112915,25,0.015911489725112915,0.006252114195376635,-0.0023078792728483677,0.06582968918982461,4,4,576,25,0.22751370345497998,0.0058326866180460546,5.7316624173038e-06,relu,128
55,0.015998749062418938,26,0.015998749062418938,0.007803349290043116,0.0007697796099819243,0.06112756853340857,3,2,576,25,0.21884185261728228,0.005451298355891797,1.6955873844013086e-05,relu,128
91,0.01740814745426178,23,0.01740814745426178,0.007866871543228626,-0.0010655124206095934,0.0752339305026567,4,2,640,25,0.07025892428464556,0.009882152207436812,8.57963745181017e-06,swish,128
71,0.017541656270623207,18,0.017541656270623207,0.007892781868577003,0.0030076238326728344,0.11285089575398505,4,1,512,25,0.14762863896214218,0.002286213885302814,4.371892453025437e-06,swish,32
14,0.018135901540517807,21,0.018135901540517807,0.008909745141863823,0.00030623425845988095,0.018808482625664175,3,2,192,25,0.2392594957558854,0.00884046495308419,2.619961230718336e-05,relu,128
57,0.018155870959162712,20,0.018155870959162712,0.007213426288217306,0.002309744944795966,0.04702120656416044,4,4,576,25,0.2542142984964978,0.001101023562626738,5.905958365633858e-06,swish,64
21,0.01830938830971718,26,0.01830938830971718,0.007765293586999178,-0.00021973044204059988,0.056425447876992524,3,3,448,25,0.11300583484839855,0.0005811965843350664,6.9525243024862894e-06,relu,64
11,0.018519453704357147,26,0.018519453704357147,0.007608521264046431,-0.003451054450124502,0.07993605115907274,3,3,512,25,0.12798924622088864,0.00048420803007295733,2.3388307304622642e-06,relu,64
34,0.019396353513002396,27,0.019396353513002396,0.00909107830375433,-0.0030162811744958162,0.02351060328208022,4,2,384,25,0.07904693281134986,0.0009231857182581859,1.3892777183608732e-05,elu,128
70,0.01955590210855007,24,0.01955590210855007,0.00947275198996067,-0.0026538302190601826,0.0752339305026567,4,1,256,25,0.16867192987077925,0.0011599458084880154,7.702232322463913e-06,swish,32
89,0.019698789343237877,22,0.019698789343237877,0.0098860003054142,-0.0011834079632535577,0.05172332722057649,3,2,256,25,0.20513774607362678,0.005880000561577486,2.9513603438240437e-06,swish,64
30,0.019946705549955368,24,0.019946705549955368,0.009539656341075897,0.0037490935064852238,0.05172332722057649,4,2,320,25,0.22481768469675123,0.0019360739497385135,1.3127891978127163e-05,swish,128
41,0.020137522369623184,29,0.020137522369623184,0.008812026120722294,-0.004311447497457266,0.04231908590774439,3,3,512,25,0.11510588713897421,0.0004889535156795962,2.863582497959069e-06,relu,64
18,0.020350590348243713,17,0.020350590348243713,0.010554484091699123,-0.0012395932571962476,0.056425447876992524,4,2,256,25,0.09235520711351443,0.00023402765995213354,0.00015334207351447548,swish,32
54,0.02088494412600994,20,0.02088494412600994,0.009442567825317383,-0.0010967280250042677,0.07993605115907274,4,4,704,25,0.13473187420305624,0.0039807998894499895,1.021328370460412e-05,relu,128
58,0.020926106721162796,23,0.020926106721162796,0.010289693251252174,-0.003026011399924755,0.03761696525132835,4,4,576,25,0.2739841360432032,0.0002023022718857971,0.000802042770873838,relu,32
20,0.021083569154143333,25,0.021083569154143333,0.010962327010929585,0.0016937456093728542,0.05172332722057649,4,2,256,25,0.2097350808906271,0.00237847130237484,1.9510334309297694e-05,swish,128
22,0.021125754341483116,23,0.021125754341483116,0.01080598495900631,0.002026190049946308,0.07053180984624066,3,2,320,25,0.09554423553402996,0.0002665778977659688,7.629824056940018e-05,relu,32
80,0.021298980340361595,22,0.021298980340361595,0.007277773227542639,-0.007294262759387493,0.03761696525132835,3,3,320,25,0.1906115656663527,0.0038704233008815927,4.830395240437831e-06,relu,32
81,0.02149706333875656,21,0.02149706333875656,0.008786878548562527,0.005756022874265909,0.02351060328208022,4,2,256,25,0.2556517702915231,0.005799729475948317,1.1174358909730512e-05,swish,64
7,0.021964551880955696,19,0.021964551880955696,0.011221371591091156,-0.0021701822988688946,0.07053180984624066,3,4,960,25,0.2954044297767479,0.005265761277157428,2.1118006447731506e-06,relu,128
19,0.022121865302324295,25,0.022121865302324295,0.01116700004786253,-0.0018940720474347472,0.05172332722057649,4,1,192,21,0.17306612677679292,0.0008448481475610876,3.9400182343913286e-05,swish,32
12,0.02231215313076973,23,0.02231215313076973,0.011154942214488983,0.001785436412319541,0.06112756853340857,3,2,576,25,0.11791061931666348,0.0006980759354838339,1.1446796690464082e-05,relu,64
67,0.022952023893594742,20,0.022952023893594742,0.011845119297504425,-0.0024930217768996954,0.05172332722057649,4,4,640,21,0.2374065052188068,0.006052494782891462,2.4792084980935815e-06,relu,64
15,0.02333061397075653,32,0.02333061397075653,0.012076633051037788,-0.002188965678215027,0.04702120656416044,3,1,128,25,0.22098447010466743,0.0092336267166085,2.1686725836905495e-05,relu,64
31,0.023670649155974388,16,0.023670649155974388,0.012360400520265102,-0.003012089990079403,0.05172332722057649,3,3,256,25,0.24316823532421394,0.0005599687808688108,5.259932824154246e-06,relu,32
73,0.02432178519666195,19,0.02432178519666195,0.012391059659421444,0.0039119659923017025,0.0752339305026567,4,1,448,25,0.20990895041936197,0.0015587602186979872,2.550773811338337e-06,swish,32
93,0.024491315707564354,16,0.024491315707564354,0.0123708201572299,-0.004871129523962736,0.05172332722057649,4,2,640,25,0.06257942600079651,0.009859022914825495,8.355635172314451e-06,swish,128
43,0.025989031419157982,16,0.025989031419157982,0.013043579645454884,-0.00521604111418128,0.04231908590774439,3,3,512,25,0.07986124407769696,0.004357379276480295,5.80098243233567e-06,relu,64
49,0.026210302487015724,18,0.026210302487015724,0.009553605690598488,-0.009249799884855747,0.10344665444115297,4,4,640,21,0.06684680406172118,0.0053688902480358534,3.203194080228313e-06,relu,64
72,0.02658183127641678,13,0.02658183127641678,0.012319483794271946,-0.005278158932924271,0.13165937837964922,4,2,320,25,0.1769032407400164,0.003293294507335369,5.464000338058918e-06,swish,32
27,0.026744304224848747,23,0.026744304224848747,0.014753272756934166,-0.0014496267540380359,0.056425447876992524,4,2,128,21,0.25764622323435027,0.0002579201625091059,8.156444715058826e-05,swish,32
69,0.027292903512716293,21,0.027292903512716293,0.0134818060323596,0.007417375687509775,0.04231908590774439,4,1,384,25,0.15423991032375073,0.002040539777471196,1.0272726674077044e-05,swish,32
8,0.041646718978881836,33,0.041646718978881836,0.024895403534173965,0.002095337025821209,0.1504678610053134,3,3,448,11,0.1402634929450309,0.00037126241790405324,2.6691294054368943e-06,relu,64
1,0.04338500276207924,34,0.04338500276207924,0.02543269284069538,0.004032257478684187,0.15516998166172943,3,2,384,11,0.18682099526511076,0.0037183641805732083,9.539146722066813e-06,elu,256
4,0.06476669758558273,16,0.06476669758558273,0.04082689434289932,0.006310358177870512,0.34795692857478727,1,4,832,21,0.26870215041229617,0.0034877126245459306,3.569679952400554e-06,swish,32
3,0.07493337988853455,10,0.07493337988853455,0.049278371036052704,0.010857661254703999,0.2774251187285466,4,4,960,15,0.06356818667316143,0.0004473636174621269,4.1853531516021084e-05,elu,256
10,0.07560713589191437,10,0.07560713589191437,0.04920500889420509,0.014181671664118767,0.38557389382611557,1,1,128,25,0.3445785086697756,0.006536264082965736,5.042776701013677e-05,relu,128
5,0.07727988064289093,5,0.07727988064289093,0.05181010067462921,-0.00046249869046732783,0.15516998166172943,2,3,704,11,0.27823551458506923,0.0013260331922696556,0.0008331634733107854,elu,256
6,0.07929093390703201,9,0.07929093390703201,0.053231220692396164,0.0013890918344259262,0.39027601448253163,2,3,960,21,0.0730939729486379,0.0003797544798678418,7.060740621969176e-06,relu,256
2,0.07988376170396805,7,0.07988376170396805,0.053871724754571915,0.004652558360248804,0.09404241312832087,4,4,384,15,0.19855307303338104,0.00011715937392307068,0.002459496283204652,elu,256
9,0.08108844608068466,7,0.08108844608068466,0.05441619083285332,0.008262444287538528,0.12695725772323319,2,4,320,15,0.16033493981577596,0.0018391267498289018,0.00028426667293593894,swish,256
0,0.0821448341012001,4,0.0821448341012001,0.05548248067498207,0.007567714434117079,0.1833827056002257,2,4,768,11,0.3098528437324805,0.0015930522616241021,0.0005093521419362401,elu,256
